DATE,V2Tone,V2Organizations
20201122161500,"-1.5625,3.90625,5.46875,9.375,19.53125,0.260416666666667,343","Royal Dutch Shell,539;Lloyds Bank,519;Natwest,505"
20201122230000,"1.60427807486631,3.74331550802139,2.13903743315508,5.88235294117647,23.5294117647059,0,169","Skipton Building Society,1181;Lloyds Bank,1025;Leeds Building Society,1225;Natwest,1011;Barclays,982;Coventry Building Society,1053;Royal Bank,1107"
20201123153000,"-1.62842339008142,1.55440414507772,3.18282753515914,4.73723168023686,25.6106587712805,0,1269","Linkedin,7965;Dalriada Trustees,5193;Facebook,7954;Lloyds Banking Group,260"
20201123154500,"0,2.57575757575758,2.57575757575758,5.15151515151515,29.3939393939394,0.757575757575758,616","Tesco Bank,307;Royal Mail,495;Lloyds Bank,762;Natwest,594;Barclays,294"
20201122080000,"-2.75,3.5,6.25,9.75,27.625,3.875,736","Google,2540;Twitter,2810;Twitter,2872;Facebook,2269;Facebook,2352;Advertising Standards Authority,3830;Lloyds Bank,157;Lloyds Bank,1464;Lloyds Bank,3899"
20201122080000,"-0.159489633173844,2.39234449760766,2.5518341307815,4.94417862838915,24.0829346092504,0.797448165869218,580","Then The Bank,2078;International Consolidated Airlines,2807;British Airways,2765;Rolls Royce,2745;Lloyds Bank,2731"
20201122091500,"0.968188105117566,3.3195020746888,2.35131396957123,5.67081604426003,25.3112033195021,1.2448132780083,658","Pfizer,88;Pfizer,880;Lloyds Banking Group,2608;International Consolidated Airlines Group,608"
20201123084500,"0.146412884333822,4.24597364568082,4.099560761347,8.34553440702782,27.5256222547584,1.46412884333821,642","Motley Fool Co,3401;Lloyds Bank,11;Office For National Statistics,1895"
20201119211500,"0.702247191011236,2.24719101123596,1.54494382022472,3.79213483146067,23.4550561797753,4.63483146067416,626","Lloyds Bank Foundation,35;Henry Smith Charity,300;Big Society,2410;Lloyds Banking Group,1289"
20201119201500,"6.4179104477612,8.65671641791045,2.23880597014925,10.8955223880597,24.9253731343284,0,611","Accident Insurance Company,401;American National,166;American National,241;American National,299;American National,480;American National,730;American National,831;American National,962;American National,1078;American National,1284;American National,1484;Farm Family Casualty Insurance Company,1151;American National Property Casualty Group,1308;American National Life Insurance Company Of Texas,273;Rating Action Press,4405;Louisiana Insurance Company Baton Rouge,937;Garden State Life Insurance Company,616;Casualty Company Springfield,770;American National Insurance Company,184;American National County Mutual Insurance Company,1110;American National Lloyds Insurance Company,987;American National Group,486;American National Group,1490;United Farm Family Insurance Company,1190;Insurance Company Springfield,869;Casualty Company San Jose,1034;American National Property,739;American National Property,1293"
20201119194500,"1.25523012552301,3.34728033472803,2.09205020920502,5.43933054393306,22.5941422594142,0,196","Office Hours Call,1479;Office Hours Call,1559;Leeds Building Society,1205;Natwest,991;Skipton Building Society,1161;Lloyds Bank,1005;Coventry Building Society,1033;Barclays,962;Royal Bank,1087"
20201124154500,"1.35593220338983,3.72881355932203,2.3728813559322,6.10169491525424,26.4406779661017,2.03389830508475,263","Lloyds Tsb,395"
20201124160000,"5.91397849462366,6.45161290322581,0.537634408602151,6.98924731182796,21.8637992831541,0.3584229390681,500","Pr Network,3576;Pr Agency,3559;Lloyds Banking Group,3483;Mapp Academy,161;Mapp Academy,390;Mapp Academy,1288;Mapp Academy,1696;Mapp Academy,2252;Pepsico,3502"
20201124160000,"5.91397849462366,6.45161290322581,0.537634408602151,6.98924731182796,21.8637992831541,0.3584229390681,500","Pr Network,3576;Pr Agency,3559;Lloyds Banking Group,3483;Mapp Academy,161;Mapp Academy,390;Mapp Academy,1288;Mapp Academy,1696;Mapp Academy,2252;Pepsico,3502"
20201125151500,"1.31578947368421,1.97368421052632,0.657894736842105,2.63157894736842,21.7105263157895,2.63157894736842,141","National House Building Council,453;Lloyds Tsb,378;Railway Pension Scheme,162"
20201126070000,"0.554016620498615,3.8781163434903,3.32409972299169,7.20221606648199,26.5927977839335,0.831024930747922,318","Blue Skies Programme,1085;Young,195;Young,332;Young,401;Young,566;Young,847;Young,1710;Young,1815;Lloyds Bank,1500;Ministry Of Defence,181"
20201125161500,"-7.21102863202545,1.48462354188759,8.69565217391304,10.1802757158006,28.101802757158,1.48462354188759,886","Express,792;Twitter,1661;Customer Services,3741;Wiltshire Police,4534;Royal Mail,399;Royal Mail,5171;Royal Mail,5329;Royal Mail,5366;Lloyds Banking Group,4235;Lloyds Bank,592"
20201125161500,"-7.06006322444679,1.58061116965227,8.64067439409905,10.2212855637513,28.1348788198103,1.26448893572181,891","Express,829;Twitter,1697;Customer Services,3777;Wiltshire Police,4570;Royal Mail,442;Royal Mail,5207;Royal Mail,5365;Royal Mail,5402;Lloyds Banking Group,4271;Lloyds Bank,629"
20201125161500,"-0.64365125804564,3.744880046811,4.38853130485664,8.13341135166764,23.7565827969573,0.702165008777063,1597","National Living Wage,8628;National Living Wage,9907;England At Lloyds Bank Commercial Banking,4899;National Infrastructure Strategy,5131;Lloyds Banking Group,1251;Lloyds Banking Group,1375;Beatons Group,7843;Federation For Small Businesses,7163;Chestnut Group,2641;Chestnut Group,2797;Chestnut Group,5489"
20201125160000,"-0.701344243132671,3.68205727644652,4.38340151957919,8.06545879602572,23.6703682057276,0.701344243132671,1599","National Living Wage,8628;National Living Wage,9907;England At Lloyds Bank Commercial Banking,4899;National Infrastructure Strategy,5131;Lloyds Banking Group,1251;Lloyds Banking Group,1375;Beatons Group,7843;Federation For Small Businesses,7163;Chestnut Group,2641;Chestnut Group,2797;Chestnut Group,5489"
20201125130000,"1.37931034482759,3.2183908045977,1.83908045977011,5.05747126436782,27.1264367816092,0.459770114942529,403","Huntly Community Council,409;Huntly Community Council,1408;Huntly Community Council,2037;District Development,445;Lloyds Banking Group,2155"
20201123171500,"-0.193423597678917,2.51450676982592,2.70793036750484,5.22243713733075,27.852998065764,0,459","Lloyds Bank,1217;High Court,35;High Court,1182"
20201123170000,"0,0,0,0,24.4897959183673,2.04081632653061,48","Lloyds Bank On Westgate,48"
20201123170000,"-1.08695652173913,0,1.08695652173913,1.08695652173913,31.5217391304348,0,84","Lloyds Bank On Westgate,88"
20201123150000,"-1.62962962962963,1.55555555555556,3.18518518518519,4.74074074074074,25.6296296296296,0,1269","Linkedin,7965;Dalriada Trustees,5193;Facebook,7954;Lloyds Banking Group,260"
20201123150000,"4.56730769230769,4.80769230769231,0.240384615384615,5.04807692307692,23.5576923076923,2.16346153846154,384","Linkedin,2549;Facebook,2538;Lloyds Banking Group,127;Ross Trustees,267;Ross Trustees,792;Ross Trustees,1971;Ross Trustees,2308"
20201123161500,"0,0,0,0,24.4897959183673,2.04081632653061,48","Lloyds Bank On Westgate,48"
20201123161500,"-1.08695652173913,0,1.08695652173913,1.08695652173913,31.5217391304348,0,84","Lloyds Bank On Westgate,88"
20201124114500,"1.23839009287926,3.71517027863777,2.47678018575851,6.19195046439629,25.6965944272446,1.85758513931889,295","Merchant Navy,573;Lloyds Tsb,785"
20201124114500,"2.07253886010363,3.28151986183074,1.20898100172712,4.49050086355786,20.7253886010363,2.24525043177893,492","United Overseas Bank,3676;Lloyds Bank Corporate,3511;Bank Ltd,425;Bank Ltd,2914;Sumitomo Mitsui Trust Bank,3598;Natixis Singapore Branch,3569;National Australia Bank,3373;Bank International Limited Singapore Branch,3451;National Bank,3715;Chinese Banking Corporation,3121;Singapore Branch,358;Singapore Branch,410;Singapore Branch,503;Singapore Branch,600;Singapore Branch,801;Singapore Branch,2847;Singapore Branch,2899;Singapore Branch,3043;Singapore Branch,3245;Singapore Branch,3333;Singapore Branch,3451;Singapore Branch,3487;Singapore Branch,3542;Singapore Branch,3569;Singapore Branch,3625;Singapore Branch,3653;Sumitomo Mitsui Banking Corporation Singapore Branch,801;Sumitomo Mitsui Banking Corporation Singapore Branch,3245;Mercuria Energy Trading Pte,1114;Mercuria Asia Group Holdings Pte,1155;Mercuria Energy Group Ltd,55;Hong Kong Branch,744;Hong Kong Branch,3190;London Branch,567;London Branch,3010;Ubs Ag,3634;Investment Bank,3314;Indian Bank,3347;Mercuria Group,2348"
20201124101500,"-0.845070422535211,1.26760563380282,2.11267605633803,3.38028169014084,17.4647887323944,0.422535211267606,579","Morgan Stanley,3033;Morgan Stanley,3858;Credit Suisse,3385;Goldman Sachs,3957;Goldman Sachs,4059;Drug Administration,3263;Natwest,2692;Swedbank,3870;Novartis,3059;Compass Group,1826;Danske Bank,3775;Capital Lloyds Banking Group,2682"
